PLAYER,POS,LANE AGILITY TIME ,SHUTTLE RUN ,THREE QUARTER SPRINT ,STANDING VERTICAL LEAP ,MAX VERTICAL LEAP ,MAX BENCH PRESS 
Ike Anigbogu,C,12.52,3.48,3.44,29.5,32.5,11
OG Anunoby,SF,-,-,-,-,-,-
Jamel Artis,SG-SF,11.62,3.08,3.44,23.5,31,5
Dwayne Bacon,SG-SF,11.7,3.22,3.22,30,36.5,8
V.J. Beachem,SG-SF,11.18,3.19,3.26,30,37,11
Jordan Bell,PF,10.63,2.83,3.21,31.5,38,16
Jaron Blossomgame,SF,11.47,3.35,3.17,31,35.5,16
Chris Boucher,PF,-,-,-,-,-,-
Tony Bradley,C,11.79,2.99,3.44,24.5,27.5,5
Isaiah Briscoe,PG,10.95,2.85,3.38,28,33.5,11
Dillon Brooks,SG-SF,11.14,3.24,3.21,31,37.5,16
Thomas Bryant,PF-C,11.42,3.12,3.37,25.5,33,7
Zach Collins,PF-C,-,-,-,-,-,-
John Collins,PF,11.66,3.27,3.27,33,37.5,15
Hamidou Diallo,SG-SF,10.88,2.79,3.11,34.5,44.5,0
Tyler Dorsey,SG,10.55,2.98,3.16,30.5,36,8
Damyean Dotson,SG-SF,11.18,3.03,3.13,31.5,38,13
PJ Dozier,SG,10.84,2.98,3.15,34,39,9
Jawun Evans,PG,11.34,3.26,3.21,27.5,33.5,1
Terrance Ferguson,SG-SF,11.16,3.22,3.32,28.5,38,-
De?Aaron Fox,PG,-,-,-,-,-,-
Markelle Fultz,PG,-,-,-,-,-,-
Harry Giles,PF,11.08,3,3.34,27,32.5,5
Josh Hart,SG-SF,11.15,3.02,3.18,27.5,35.5,9
Nigel Hayes,PF,11.81,2.94,3.27,29,33.5,16
Isaiah Hicks,PF,12.31,3.31,3.36,31.5,37,11
Wesley Iwundu,SG-SF,11.25,3.23,3.36,31.5,36,5
Frank Jackson,PG,10.94,2.7,3.14,34.5,42,9
Justin Jackson (UMD),SF,11.78,3.08,3.43,26.5,31.5,-
Justin Jackson (UNC),SF,10.8,3.06,3.3,29.5,35.5,-
Peter Jok,SG-SF,11.34,2.93,3.41,26.5,31,-
Luke Kennard,SG-SF,-,-,-,-,-,-
Kyle Kuzma,SF-SG,10.72,2.98,3.25,27,34,12
TJ Leaf,PF,11.55,3.27,3.27,29,34.5,6
Tyler Lydon,PF,11.68,2.81,3.46,29.5,33.5,1
Frank Mason III,PG,11.41,3.09,3.18,34,41,15
Kennedy Meeks,C,12.91,3.35,3.5,28,30.5,15
